article_id,title,url,timestamp
131521,"Credit Repair with Lanx Credit Solution keywords : Covid 19,Covid 19 Update,Money,Homeless",https://medium.com/@tk506667/credit-repair-with-lanx-credit-solution-754b19bc5437,2020-12-17 02:52:56.440000+00:00
184225,"[Lifehacking] Time. And How to use it well during your limited lifetime. keywords : Life Lessons,Time,Lifehacks",https://medium.com/@djoann/lifehacking-time-and-how-to-use-it-well-during-your-limited-lifetime-3c346635a66c,2019-11-14 16:40:03.332000+00:00
54358,"Binance Flash Update keywords : Binance,Blockchain,Cryptocurrency,Bitcoin,News",https://medium.com/binanceexchange/binance-flash-update-1fafb425d1d4,2018-05-28 10:26:48.483000+00:00
37182,"Hugh Nibley — A Tentative Theology keywords : Mormon,Theology,Mormonism,Religion,Hugh Nibley",https://medium.com/interfaith-now/hugh-nibley-a-tentative-theology-9ab16c7a071,2020-03-16 17:00:06.866000+00:00
72819,"Defi Exchange Injective Protocol Bringing Trading Of Amazon, Facebook, Google and Netflix Shares keywords : Cryptocurrency,Cryptocurrency News,Defi,Altcoins,Crypto",https://medium.com/the-capital/defi-exchange-injective-protocol-bringing-trading-of-amazon-facebook-google-and-netflix-shares-acf4ea569500,2021-01-02 13:49:00.687000+00:00
61357,"Cloud Kitchen ทำร้านอาหารไม่ต้องมีหน้าร้านในยุค Food Delivery​ keywords : Innovation,Startup,Strategy,Cloud Kitchens,ร้านอาหาร",https://medium.com/23perspective/cloud-kitchen-%E0%B8%97%E0%B8%B3%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%95%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%A1%E0%B8%B5%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%83%E0%B8%99%E0%B8%A2%E0%B8%B8%E0%B8%84-food-delivery-cfd977787287,2020-02-21 08:20:42.164000+00:00
52757,"Isha Vidhya Collaboration Updates keywords : Isha Vidhya,Online Portal,Educational Initiative",https://medium.com/shuddhi-vidhya/isha-vidhya-collaboration-updates-3745db6128b3,2020-08-12 16:25:34.451000+00:00
64763,"Ranchi Mall FLO Blockchain Contract Report — August 2018 keywords : Blockchain,Ranchi Mall,Bitcoin,Cryptocurrency,Startup",https://medium.com/ranchimall/ranchi-mall-flo-blockchain-contract-report-august-2018-713a6c09d7e6,2018-08-15 23:17:41.924000+00:00
65302,"Elisa New on Poetry in America and Beyond (Ep. 43) keywords : Poems On Medium,English,Poetry,Podcast",https://medium.com/conversations-with-tyler/tyler-cowen-elisa-new-poetry-dickinson-frost-30258652438e,2019-07-17 17:57:32.420000+00:00
183483,Verineia Codrean: How to Use LinkedIn To Dramatically Improve Your Business keywords : Wine,https://medium.com/authority-magazine/how-to-use-linkedin-to-dramatically-improve-your-business-with-verineia-codrean-and-phil-laboon-933d9f4d8c85,2020-07-27 19:47:05.819000+00:00
174299,"In UK Food Delivery Battleground, Just Eat Takes #1 Spot with 45% Market Share keywords : IPO,Food Delivery,Uber,UK,Deliveroo",https://medium.com/edison-discovers/in-uk-food-delivery-battleground-just-eat-takes-1-spot-with-45-market-share-e81f79f7133b,2021-04-01 23:04:21.487000+00:00
48973,"What’s next for space exploration keywords : Food,Moon,Mars,Space,Exploration",https://medium.com/experience-magazine/whats-next-for-space-exploration-d550ef724111,2019-07-18 15:35:17.221000+00:00
150167,"How to Stop Procrastinating — Pave the way to Productivity keywords : Virtual Assistant,Productivity,Time Management,Stop Procrastinating,Procrastination",https://medium.com/@tasksassistant/how-to-stop-procrastinating-pave-the-way-to-productivity-fa9643adccb1,2020-04-23 10:20:49.347000+00:00
25099,"Search serving and ranking at Pinterest keywords : Machine Learning,Ranking,Pinterest,Search,Personalization",https://medium.com/the-graph/search-serving-and-ranking-at-pinterest-224707599c92,2017-03-01 18:39:39.582000+00:00
101909,"Integrating HMS Push Kit in Unity Game Development keywords : Push Notification,Unity,Hms Core,Hms,Huawei Mobile Service",https://medium.com/@shikkerimath/integrating-hms-push-kit-in-unity-game-development-ac2ac4141086,2020-12-22 13:31:52.290000+00:00
31015,"Four Cartoonists on The Biggest Lie of Their Lives keywords : Humor,Memoir,Family,Caribbean,Comics",https://medium.com/the-nib/four-cartoonists-on-the-biggest-lie-of-their-lives-9fb6df5913b0,2020-12-10 15:51:08.177000+00:00
28397,"Here’s how to decide whether or not to buy bitcoin keywords : Cryptocurrency,Blockchain,Ethereum,Bitcoin",https://medium.com/ludus-group/heres-how-to-decide-whether-or-not-to-buy-bitcoin-84a8e45390cd,2017-12-04 20:12:27.078000+00:00
118549,"Why Proper Communication Benefits You and Your Team keywords : Communication,Soft Skills,Talent,Skills,Work",https://medium.com/@masholdings1/why-proper-communication-benefits-you-and-your-team-a7cb0e477ce4,2020-12-09 06:32:17.081000+00:00
20347,"Will this be History? keywords : Europe,Politics,History,Brexit,World",https://medium.com/history-of-yesterday/will-this-be-history-f6f38b8b3029,2019-08-30 21:30:09.315000+00:00
10179,"10 Jokes to Brighten Up Your Lockdown keywords : Coronavirus,Pandemic,Quarantine,Jokes,Funny",https://medium.com/bettertoday/10-jokes-to-brighten-up-your-quarantine-98fe2cab53f0,2020-05-17 22:38:28.115000+00:00
78754,"CONQUER STRESS WITH THESE 5 NIGHTLY YOGA POSES keywords : Sleep,Exercise,Yoga,Night,Sleeping",https://medium.com/@everythingcj/conquer-stress-with-these-5-nightly-yoga-poses-e5fd4d10489e,2021-02-07 14:02:13.475000+00:00
32860,"Is Democracy Dead? keywords : Politics,Politics And Protest,Trump,Brexit,Democracy",https://medium.com/an-injustice/is-democracy-dead-7d43a7a6c391,2020-12-25 15:15:31.803000+00:00
112087,"The Power of Indifference keywords : Indifference,Stoicism,Philosophy,Emotions,Quick Reads",https://medium.com/@antoniejohannes/the-power-of-indifference-20160515f560,2020-12-06 13:32:37.320000+00:00
37598,"How to build a powerful business index? keywords : Economics,Business Index,Data Science,Statistics,Analyst",https://towardsdatascience.com/how-to-build-an-index-452f5018d5aa,2020-05-04 10:24:36.237000+00:00
14162,"Kubernetes Deployment: Connect Your Front End to Your Back End With Nginx keywords : DevOps,Docker,Programming,Containers,Kubernetes",https://medium.com/better-programming/kubernetes-deployment-connect-your-front-end-to-your-back-end-with-nginx-7e4e7cfef177,2020-05-04 16:30:06.034000+00:00
55169,"decisions. keywords : Society,Family,Poetry,One Line,Loneliness",https://medium.com/chalkboard/decisions-2a148d994324,2017-09-06 18:04:57.152000+00:00
34922,"A Life Hangs By A Thread keywords : Horror,Fiction,Microfiction,Fear,Halloween",https://medium.com/lit-up/a-life-hangs-by-a-thread-9194de297577,2019-11-01 20:08:16.021000+00:00
47067,"Stratis Federated Sidechains keywords : Sidechains,Stratis,Smart Contracts,Stratiscommunity,Blockchain",https://medium.com/khilone/stratis-federated-sidechains-c83bc44a3a09,2019-06-20 13:28:51.165000+00:00
35436,"How To Have Fantastic First Dates keywords : Life Lessons,Relationships,Life,Love,Dating",https://medium.com/mind-cafe/how-to-have-fantastic-first-dates-cec1178fced9,2020-02-13 14:35:31.268000+00:00
34006,"Skycoin Team Status Update keywords : Bitcoin,Ethereum,Mesh Networks,Cryptocurrency,Skycoin",https://medium.com/skycoin/skycoin-team-status-update-77c4793eaf7c,2018-06-18 15:18:53.941000+00:00
3322,"How To Thrive As a Tortoise in a World of Hares keywords : Self-awareness,Life Lessons,Freelancing,Writing,Self",https://medium.com/a-novel-idea/how-to-thrive-as-a-tortoise-in-a-world-of-hares-f05ae92c85f3,2020-10-16 15:17:35.963000+00:00
145588,"All About Bit Coin You Must Know keywords : Cryptocurrency,Bitcoin Mining,Bitcoin Wallet,Bitcoin,Cryptocurrency Investment",https://medium.com/@anvayavani24/all-about-bit-coin-you-must-know-a5ad787f82f2,2021-02-20 08:43:55.096000+00:00
29673,"Mongolians are more in debt now than ever keywords : Data Analysis,Debt,Mongolia,Tableau,Data Visualization",https://medium.com/mongolian-data-stories/mongolians-are-more-in-debt-now-than-ever-7f797e448f77,2018-05-08 08:26:01.447000+00:00
83883,"I felt like I was looking in somewhat of a mirror when reading this — because I have been/am her. keywords : Relationships,Trauma,Love,Memoir,Divorce",https://medium.com/@reneelavie/i-felt-like-i-was-looking-in-somewhat-of-a-mirror-when-reading-this-because-i-have-been-am-her-b6bd68ca3ff3,2020-12-19 15:15:09.008000+00:00
